match_id,poss_id,team,home_team,action,success,goal,home_score,away_score,goal_diff,Period,Minute,Second,seconds,delta_T,start_x,start_y,deltaX,deltaY,distance,dist2goal,angle2goal,action_pred,delta_T_pred,start_x_pred,start_y_pred,action_0_prob,action_1_prob,action_2_prob,action_3_prob,action_4_prob,action_5_prob,action_6_prob,action_7_prob,action_8_prob,delta_T_pred_unscaled,start_x_pred_unscaled,start_y_pred_unscaled
2565858,0,674,1,short_pass,1,0,0,0,0,1,0.0,2.2746,2.2746,0.0,34.0,53.55,0,0,0.0,0.0,0.5,,,,,,,,,,,,,,,,
2565858,0,674,1,short_pass,1,0,0,0,0,1,0.0,4.2364,4.2364,1.9618,27.2,65.1,-10,11,12.8919,63.5263,3.0128,,,,,,,,,,,,,,,,
2565858,0,674,1,short_pass,1,0,0,0,0,1,0.0,6.4543,6.4543,2.2179,32.64,99.75,8,33,23.9607,62.5901,2.6308,,,,,,,,,,,,,,,,
2565858,0,674,1,short_pass,1,0,0,0,0,1,0.0,9.6164,9.6164,3.1621,19.04,98.7,-20,-1,21.011,81.3054,2.7647,,,,,,,,,,,,,,,,
2565858,0,674,1,short_pass,1,0,0,0,0,1,0.0,13.6373,13.6373,4.0209,8.84,42.0,-15,-54,39.9552,91.6027,3.0673,,,,,,,,,,,,,,,,
2565858,0,674,1,high_pass,1,0,0,0,0,1,0.0,16.6743,16.6743,3.037,10.88,94.5,3,50,34.1456,92.2989,2.8425,,,,,,,,,,,,,,,,
2565858,0,674,1,_,0,0,0,0,0,1,0.0,16.6743,16.6743,0.0,10.88,94.5,0,0,0.0,0.0,0.5,,,,,,,,,,,,,,,,
2565858,1,676,0,short_pass,1,0,0,0,0,1,0.0,21.4106,21.4106,4.7363,19.72,24.15,13,-67,47.5609,76.7775,2.9001,,,,,,,,,,,,,,,,
2565858,1,676,0,short_pass,1,0,0,0,0,1,0.0,22.4213,22.4213,1.0107,22.44,26.25,4,2,4.4147,72.3749,2.9045,,,,,,,,,,,,,,,,
2565858,1,676,0,short_pass,1,0,0,0,0,1,0.0,29.0909,29.0909,6.6696,6.12,52.5,-24,25,30.398,95.55,3.1416,,,,,,,,,,,,,,,,
2565858,1,676,0,short_pass,1,0,0,0,0,1,0.0,32.6686,32.6686,3.5776,8.16,8.4,3,-42,28.7332,96.7132,2.8418,0.0,0.45141852,0.83602244,0.5205691,2.794825,-0.40627736,-0.759224,1.1927844,-1.12666,-0.38562366,-0.7663659,0.84184045,-2.1750488,0.0033747271683288948,56.849525690078735,54.659754037857056
2565858,1,676,0,short_pass,1,0,0,0,0,1,0.0,37.6767,37.6767,5.0081,4.08,8.4,-6,0,6.3,102.749,2.8599,0.0,0.4514895,0.83604294,0.5206434,2.7948601,-0.4062869,-0.7592574,1.1928114,-1.1266502,-0.38562453,-0.7663738,0.84185714,-2.1750615,0.003379042823895718,56.85091996192932,54.66755837202072
2565858,1,676,0,short_pass,0,0,0,0,0,1,0.0,38.8538,38.8538,1.1771,6.8,11.55,4,3,4.6692,98.1507,2.868,0.0,0.45155293,0.8360438,0.5206737,2.7949092,-0.40629137,-0.7592965,1.1928574,-1.1266767,-0.38565022,-0.7663954,0.8418609,-2.175115,0.0033829029537723837,56.85097670555115,54.67073768377304
2565858,1,676,0,short_pass,1,0,0,0,0,1,1.0,4.708,64.708,25.8542,12.92,6.3,9,-5,10.043,90.1594,2.8033,0.0,0.45158806,0.8360442,0.52069163,2.7948964,-0.40626943,-0.7593373,1.1928635,-1.1266501,-0.3856669,-0.76640844,0.8418174,-2.175119,0.0033850435228574174,56.85100507736206,54.67262148857117
